ticker,name,current_price,market_cap,volume,yield_change_1y,volatility,sharpe_ratio,avg_volume,price_high_52w,price_low_52w,current_volume,yield_factor,volatility_factor,sharpe_factor,liquidity_factor,price_stability,stability_factor,market_cap_factor,composite_score
IEF,7-10 Year Treasury Bond ETF,95.5999984741211,13957600256,5689331,0.031084137007614587,0.06270674764343624,0.17676147183778884,8015585.2,96.26265461071009,89.07619871199982,5721400,0.9,0.19999999999999996,0.9,0.5,0.9248278659684745,0.8,0.6,0.67
TLT,20+ Year Treasury Bond ETF,87.66999816894531,9617398784,29172261,-0.04041173065949907,0.13506031897456366,-0.44729444679363306,38838222.8,97.73673365684397,82.36773889612913,29187000,1.0,0.0,1.0,0.1,0.8246949346217862,1.0,0.7,0.65
BND,Total Bond Market ETF,73.58000183105469,0,4185826,0.0385128115448628,0.05032632119060885,0.3678554503268041,6570927.2,73.69999694824219,69.51587997710388,4190700,0.7,0.6,0.7,0.7,0.9431351336366455,0.2,0.9,0.615
TIP,TIPS Bond ETF,110.41999816894531,19621634048,1605580,0.04913488779786109,0.046421333730923435,0.6276184990017417,2246972.8,110.58000183105469,103.97920007895793,1606300,0.5,0.7,0.5,1.0,0.9402209576022872,0.5,0.3,0.605
AGG,Core U.S. Aggregate Bond ETF,99.12999725341797,56761835520,7869288,0.03849138466056123,0.05094905768751652,0.362938697982867,8610416.8,99.31999969482422,93.58297605505618,7869300,0.8,0.5,0.8,0.4,0.9421262604789367,0.3,0.1,0.5700000000000001
SHY,1-3 Year Treasury Bond ETF,82.63999938964844,17296551936,2911677,0.04258340853034952,0.016053293638429823,1.4067772657124589,3956261.2,82.69000244140625,79.19735362973387,2925600,0.6,0.9,0.2,0.9,0.9577365823152477,0.1,0.4,0.54
VCSH,Vanguard Short-Term Corporate Bond ETF,79.45999908447266,0,20612658,0.060074420108208196,0.024191110138648848,1.656576315784013,4176769.6,79.52999877929688,74.8324104711544,20613000,0.3,0.8,0.1,0.8,0.9408810928483835,0.4,0.9,0.48000000000000004
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,83.08999633789062,0,16956730,0.06704914417261496,0.05384341130269485,0.8738143262899123,7537658.4,83.23999786376953,77.00762080101367,17456800,0.2,0.4,0.4,0.6,0.9249924499044204,0.7,0.9,0.45
LQD,Investment Grade Corporate Bond ETF,109.76000213623047,32214560768,29018104,0.05140100924232573,0.0733322247303041,0.42820205384208754,26351150.4,110.08000183105469,101.86480751407136,29018100,0.4,0.09999999999999998,0.6,0.3,0.9251531144579708,0.6,0.2,0.385
HYG,High Yield Corporate Bond ETF,80.20999908447266,15689075712,29070902,0.09003905703239132,0.055988869336588316,1.2509460873613554,38366286.0,80.36000061035156,73.40522582489692,29405000,0.1,0.30000000000000004,0.3,0.2,0.9132929202738144,0.9,0.5,0.3350000000000001
